Material,Quantity,Frequency,Description,Location
0AM3376,24.0,0.04461942257217848,BARGALLO ACEITE ALTO RENDIMIENTO 20L,660-044-10
0RF1357,26.0,0.04199475065616798,MONSTER ULTRA ROSA LATA50 C24,660-045-10
UE903CATN,792.0,0.03937007874015748,COPA 20 CL ED CAT,660-046-10
0RF0468,102.0,0.03937007874015748,COCACOLA BIB10L,660-047-10
0AG0028,98.0,0.03937007874015748,VILAS TURBON AGUA VNR33 C24,660-048-10
NTL12P24,55.0,0.03937007874015748,NESTEA LIMON 1/2 SR PET 24U. P.HT,660-049-10
0VE0666,46.0,0.03937007874015748,PORTIA VERDEJO 75CL 6U,660-050-10
UE050CATN,1500.0,0.03674540682414698,VASO GASTRO 25 CL ED CAT,660-051-10
0RF0537,332.0,0.03674540682414698,COCACOLA ZER LATA20 P6,660-052-10
0AG0335,88.0,0.03674540682414698,FONT SUBIRA NATURAL 20L GARRAFA 1U,660-053-10
0RF0103,48.0,0.03674540682414698,AQUARIUS NAR ZER LATA33 C24,660-054-10
0ZU0136,19.0,0.03674540682414698,MINUTE MAID TOM VNR20 C24,660-055-10
UC403CATN,630.0,0.03412073490813648,SERVILLETERO ED CAT,660-056-10
0RF0598,85.0,0.03412073490813648,MONSTER ULTRA FIESTA LATA50 C24,660-057-10
0RF1589,57.0,0.03412073490813648,MONSTER JUICE BAD APPLE LATA50 C24,660-058-10
0VE0636,55.0,0.03412073490813648,SANTANA TINTO TEMPRANILLO 75CL 12U,660-059-10
VI30,33.0,0.03412073490813648,VICTORIA BARRIL 30L.,660-060-10
TU13LT,23.0,0.03412073490813648,TURIA 1/3 LATA,660-061-10
0RF0679,22.0,0.03412073490813648,COCACOLA ZER LIME LATA33 CCO8 C24,660-062-10
0RF0437,14.0,0.03412073490813648,/-NESTEA LIM VR30 24U,660-063-10
UE113N,1002.0,0.031496062992125984,"JARRA EPOCA 0,3 L ED",660-064-10
0RF0235,38.0,0.031496062992125984,RBLISS TON WTR VNR20 C24,660-065-10
XI11SRB6,36.0,0.031496062992125984,XIBECA 1/1 SR BANDEJA 6U.,660-066-10
0RF0532,30.0,0.031496062992125984,ROYAL BLISS YUZ VNR20 C24,660-067-10
0RF0240,28.0,0.031496062992125984,POWERADE ZER ICE STORM PET50 C12,660-068-10
0RF1590,25.0,0.031496062992125984,JACK AND COKE ZER S/CAF LATA33 C12,660-069-10
0RF1651,15.0,0.031496062992125984,FUZE LSA VR30 C24,660-070-10
0AG0046,76.0,0.028871391076115485,"VICHY CATALAN GAS 1,2L PET 6U",660-071-10
0VE0474,54.0,0.028871391076115485,EL NIÑO DE CAMPILLO 75CL 6U,660-072-10
0AM1277,29.0,0.028871391076115485,BARGALLO ACEITE OLIVA INTENSO 5L,660-073-10
EDI34SR,29.0,0.028871391076115485,INEDIT DAMM 3/4 SR CAJA 12U.,660-074-10
0AM1284,19.0,0.028871391076115485,BARGALLO OLI FRIT FRIT 10L,660-075-10
